year,r_ce_1.5,r_ce_2.0,r_ce_2.5,r_ce_3.0,r_ra_1.5,r_ra_2.0,r_ra_2.5,r_ra_3.0
2112,0.0104961221506037,0.013772579035025809,0.017284378647668748,0.02095436804550495,0.01756103457022798,0.022122596150123918,0.02658642106425814,0.03102678205796874
2113,0.010441168305368068,0.013704902770343662,0.017207659761763795,0.020870896204925667,0.017563413856680872,0.022111132766420873,0.026562730763869065,0.030992225810861244
2114,0.01039577878447798,0.0136478835513549,0.017142155453409004,0.020798909437013242,0.01758838182711255,0.022127344715881347,0.026570853654782806,0.030993127837691606
2115,0.01035969837920349,0.013601248594361234,0.017087589427302544,0.02073813484590468,0.01762655762448626,0.022157349830397348,0.02659254847855925,0.03100692692503136
2116,0.010280393475358727,0.01350056892659969,0.016969220158584247,0.020604204184807625,0.017606770665366773,0.02212131758854942,0.026542976590061537,0.030945623054852336
2117,0.010210976641370748,0.013411026341114643,0.016862690508134406,0.020482524028770207,0.017598927748277315,0.022097928505653678,0.02650621180998295,0.03089703312017996
2118,0.010150532041714117,0.013331556170862919,0.016766833615946806,0.020371849803165646,0.017604474029032244,0.022090235587306578,0.026486714695291208,0.030866845137534595
2119,0.010098686638684677,0.013261728096245302,0.016681179102704856,0.02027167987599674,0.01762499545933769,0.022099796669731876,0.02648608882688896,0.03085679823010829
2120,0.010054959035974576,0.013200968001604522,0.016605082322206442,0.020181311102924534,0.017669283336180966,0.022136900014673312,0.02651573222313261,0.0308791799049035
2121,0.009974995895792203,0.013100495217081768,0.01648809549449056,0.020050120738426082,0.01762791308799142,0.02207742042712921,0.026441359675274563,0.030792054372431075
2122,0.009901930364754225,0.013007114834662666,0.016378003066294528,0.019925434733189754,0.017604386166680523,0.022038588163317597,0.02638952585883028,0.030728831953847065
2123,0.009836004294333333,0.012921160869688413,0.016275216806671693,0.01980773372406054,0.01760578363828532,0.022027907115233773,0.02636786187180269,0.030697144818643652
2124,0.009777183086691234,0.012842583951505846,0.016179665247344464,0.01969691898743999,0.017615090274845466,0.022026202127674012,0.026355692403362493,0.030675169205697704
2125,0.009725249362976683,0.0127711000271688,0.01609099900761995,0.019592575874179556,0.01763756041613412,0.02203967232434373,0.026359913734103027,0.030670320617312376
2126,0.009644347793889764,0.01266609034569613,0.01596523637996649,0.01944801890251658,0.017622295585848533,0.022007793182266595,0.02631394754271546,0.030611925254185803
